License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
3162004,ON-PREMISES LIQUOR,252,OP,3,Buffalo,YATES,KEUKA LAKE HOTEL LLC,HAMPTON INN PENN YAN,110 MACE ST,,PENN YAN,NY,14527,,01/25/2019
3162011,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,FOUR BROTHERZ INC,,117 COLVIN AVE,,BUFFALO              ,NY,14216,,03/25/2019
3162019,MICRO WINERY,307,MW,3,Buffalo,NIAGARA,ANTHONY MANOR LLC,ANTHONY MANOR,3671 HUMAN RD,REAR BUILDING,SANBORN,NY,14132,,03/25/2019
3162172,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CATTARAUGUS,MAIN STREET OF OLEAN LLC,THE BROKEN WING,313 MAIN ST,,OLEAN,NY,14760,,01/28/2019
3162189,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,YUVRAJ09 INC,7 ELEVEN STORE #22658E,430 EMPIRE BLVD,,ROCHESTER            ,NY,14609,,01/15/2019
3162192,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,585 BHATTI INC,RACETRAC,98 LYELL AVE,,ROCHESTER            ,NY,14608,,01/15/2019
3162195,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,MESQUITE MEXICAN GRILL INC,,1900 CLINTON AVE S,T/O BRIGHTON STORE #510,ROCHESTER,NY,14618,895853,01/15/2019
3162197,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,FANZ USA LLC,7 ELEVEN STORE #15869C,840 MAPLE RD,,WILLIAMSVILLE ,NY,14221,,01/16/2019
3162200,ON-PREMISES LIQUOR,252,OP,3,Buffalo,NIAGARA,DOMINION RESTAURANTS LLC,CATANIA,333 RAINBOW BLVD,SUITE A,NIAGARA FALLS        ,NY,14303,895843,01/16/2019
3162202,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,TOMPKINS,UNIVERSAL DELI GROCERY I CORP,,428 EDDY ST,,ITHACA,NY,14850,,01/16/2019
3162205,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ONTARIO,KLEE CORPORATION,,1429 STATE RD 332,,FARMINGTON,NY,14425,915606,01/16/2019
3162207,TAVERN WINE,344,TW,3,Buffalo,MONROE,BAD AXE THROWING USA INC,,123 LIBERTY POLE WAY,,ROCHESTER            ,NY,14604,,01/17/2019
3162208,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,RASHED CORPORATION,HELLO HUDSON,519 HUDSON AVE,,ROCHESTER            ,NY,14605,915539,01/17/2019
3162209,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CHAUTAUQUA,SALVAGGIO ENTERPRISES LLC,SALVAGGIO'S,845 E 2ND ST,,JAMESTOWN,NY,14701,895850,01/17/2019
3162210,FARM WINERY,302,FW,3,Buffalo,STEUBEN,AGNESS WINE CELLARS LLC,,14157 W LAKE RD,,PULTENEY,NY,14840,,01/17/2019
3162211,TEMPORARY WINERY/FARM WINERY,306,FP,3,Buffalo,STEUBEN,AGNESS WINE CELLARS LLC,,14157 W LAKE RD,,PULTENEY,NY,14840,546659,01/17/2019
3162213,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,MONROE,ROYAL PALACE DELI  LLC,,452 PARSELLS AVE,,ROCHESTER            ,NY,14609,,01/17/2019
