License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
1302914,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,53 LAPIDAR INC,,53 STONE ST,,NEW YORK,NY,10004,,03/05/2019
1304304,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,WOLFE LIC INC,2 DIVE 4,33-10 36TH AVE ,,LONG ISLAND CITY,NY,11106,888417,01/17/2019
1304478,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,FLAT TOP INC,FRANKIE & MATT,508 COLUMBUS AVE,,NEW YORK,NY,10024,,03/22/2019
1306781,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,EL ENCANTO CENTRO AMERICANO RESTAURANT INC,EL ENCANTO CENTRO AMERICANO RESTAURANT,14912 JAMAICA AVE,,JAMAICA,NY,11435,888668,03/19/2019
1308127,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,ELITE GROUP HOLBROOK INC,,4815 VETERANS MEMORIAL HWY,,HOLBROOK,NY,11741,,03/13/2019
1311598,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,ELITE GROUP HOLBROOK INC,,4815 VETERANS MEMORIAL HWY,,HOLBROOK,NY,11741,,03/05/2019
1312978,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,MP LORRAINE CORP,ASSOCIATES SUPERMARKET,58 60 LORRAINE ST,,BROOKLYN,NY,11231,903876,01/24/2019
1313065,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,A & K PARTY HALL CORP,EL SABOR LATINO DE 2 BANDERAS,2241 WASHINGTON AVE,,BRONX,NY,10457,,02/25/2019
1313103,WHOLESALE LIQUOR,203,LL,1,New York City,BRONX,ANHEUSER BUSCH DISTRIBUTORS OF NEW YORK INC,,550 FOOD CENTER DR,HUNTS POINT FOOD DIST CENTER,BRONX,NY,10474,,03/18/2019
1313240,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,SUGAR HILL CANDY CORP,,741 ST NICHOLAS AVE,,NEW YORK,NY,10031,903949,01/16/2019
1313257,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,3503 PINO RESTAURANT CORP,BAR ITALIA,35-03 BROADWAY,,ASTORIA,NY,11106,,01/17/2019
1313288,LIQUOR STORE,222,L,1,New York City,KINGS,SOT WINES LLC,,227 KNICKERBOCKER AVE,,BROOKLYN,NY,11237,,03/13/2019
1313329,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,555 ALICIBIADES DELI CORP,,555 E 169TH ST,,BRONX,NY,10456,,01/28/2019
1313724,FARM BREWER,106,FD,1,New York City,NASSAU,SOUTH SHORE CRAFT BREWERY CORP,,3505 HAMPTON RD ,UNIT E,OCEANSIDE,NY,11572,,01/24/2019
1313770,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,"LOFT BKNY RESTAURANT & LOUNGE LLC, THE",,1712 NOSTRAND AVE,,BROOKLYN,NY,11226,,02/22/2019
1313786,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,SWEET HOSPITALITY GROUP LLC,SWEET HOSPITALITY GROUP,312 W 36TH ST ,BARROW GROUP THEATRE SPACE,NEW YORK,NY,10018,,02/13/2019
1313787,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,SWEET HOSPITALITY GROUP,,515 W 52ND ST,ROBT WILSON MCC THEATRE SPACE,NEW YORK,NY,10019,,02/13/2019
1313823,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,CD RESTAURANT AND BAR INC,,217-21 JAMAICA AVE,,QUEENS VILLAGE,NY,11428,,03/25/2019
1313831,RESTAURANT WINE,341,RW,1,New York City,BRONX,EL SASON DE MI ABUELA CORP,,1561 WESTCHESTER AVE,,BRONX,NY,10472,,04/04/2019
1313935,"GROCERY BEER, WINE PROD",122,AX,1,New York City,WESTCHESTER,COCO FARMS OF YONKERS INC,,1001 CENTRAL PARK AVE,,YONKERS,NY,10704,,02/01/2019
1314092,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,GERMAT OF NY INC,THE TASTING TABLE,192 E 2ND ST,,NEW YORK,NY,10009,,03/18/2019
1314153,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,LITTLE PARTNERS LLC,DURIAN,147 CHATSWORTH AVE,,LARCHMONT,NY,10538,895809,03/13/2019
1314364,EATING PLACE BEER,141,EB,1,New York City,NEW YORK,DON PANCHITO DELI & GROCERY CORP,,231 E 116TH ST,,NEW YORK,NY,10029,,04/22/2019
1314561,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,SPIN NYC E54 LLC,,7 E 54TH ST,,NEW YORK,NY,10022,888618,01/24/2019
1314771,LIQUOR STORE,222,L,1,New York City,BRONX,GOMEZ BROTHERS WINE & LIQUORS INC,,600 E FORDHAM RD,"STOREFRONT D, CORNER ARTHUR AV",BRONX,NY,10458,,04/16/2019
1314797,CATERING ESTABLISHMENT,246,CT,1,New York City,NEW YORK,GT EVENTS LLC,GRACIOUS THYME CATERING,2191 3RD AVE,,NEW YORK,NY,10035,,03/21/2019
1314813,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,COPPER THROAT CORP,COPPER THROAT,123 LUDLOW ST,,NEW YORK,NY,10002,830756,03/04/2019
1314876,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,MAHANT 239 INC,,239 9TH AVE,,NEW YORK,NY,10001,,04/17/2019
1314904,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,LA SURENA RESTAURANT INC,,116 LONG BEACH RD,STORE 116,ISLAND PARK,NY,11558,,03/13/2019
1314945,"GROCERY BEER, WINE PROD",122,AX,1,New York City,WESTCHESTER,Y K CHOICE DELICATESSENS CORP,,102 DRAKE AVE,STORE 4,NEW ROCHELLE         ,NY,10805,,03/18/2019
1314998,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,ART RESTAURANT GROUP LLC,YOUR MOTHER'S HOUSE,2349 JERICHO TPKE,SPACE #275,GARDEN CITY PARK,NY,11040,,04/10/2019
1315072,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,HONDO 130 INC,,2552 HEMPSTEAD TPKE,,EAST MEADOW,NY,11554,,04/04/2019
1315111,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,CAFE TABACO Y RON CORP,,501 W 214TH ST,,NEW YORK,NY,10034,,04/03/2019
1315133,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,FJ CONVENIENCE STORE INC,,5924 5TH AVE,,BROOKLYN,NY,11220,,04/05/2019
1315281,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,CASTAWAY 906 BEECH CORP,CASTAWAY,906 W BEECH ST,,LONG BEACH,NY,11561,,01/24/2019
1315305,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,PAPISITOS LOUNGE LLC,KINGS TAPAS BAR,70-04 ROOSEVELT AVE ,,JACKSON HEIGHTS,NY,11372,,02/07/2019
1315552,RESTAURANT WINE,341,RW,1,New York City,WESTCHESTER,SOFIA'S PIZZERIA AND RESTAURANT INC,,212 HARRISON AVE,,HARRISON,NY,10528,,04/05/2019
1315571,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,FASHIONED HOSPITALITY LLC,J BESPOKE,121 E 27TH ST,UNIT A,NEW YORK,NY,10016,,04/17/2019
1315713,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,LA LUNA MINI DELI CORP,,667 W 177TH ST,STORE 7,NEW YORK,NY,10033,,03/25/2019
1315714,"GROCERY BEER, WINE PROD",122,AX,1,New York City,WESTCHESTER,AMG DELICATESSEN INC,,176 S LEXINGTON AVE,,WHITE PLAINS,NY,10606,904051,01/15/2019
1315716,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,460 EL PATIO DELI GROCERY CORP,,460 E 138TH ST,,BRONX,NY,10454,904058,01/15/2019
1315717,EATING PLACE BEER,141,EB,1,New York City,NEW YORK,NEW 94 EAST BROADWAY INC,EAST BROADWAY RESTAURANT,94 E BROADWAY,,NEW YORK,NY,10002,,01/15/2019
1315720,RESTAURANT WINE,341,RW,1,New York City,QUEENS,KWANG CORP,,33-41 FRANCIS LEWIS BLVD,,FLUSHING,NY,11358,,01/15/2019
1315721,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,LARRY LAWRENCE INC,LARRY LAWRENCE BAR,232 KNICKERBOCKER AVE,,BROOKLYN,NY,11237,,01/15/2019
1315722,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,751 4TH AVE LOTTO DELI & GRILL CORP,,751 4TH AVE,,BROOKLYN,NY,11232,,01/15/2019
1315725,RESTAURANT WINE,341,RW,1,New York City,WESTCHESTER,STAGIONI OF ARDSLEY INC,STAGIONI,2 BRIDGE ST,,ARDSLEY,NY,10502,,01/15/2019
1315728,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,LAMAR GOURMET DELI CORP,,1570 E 174TH ST,,BRONX,NY,10472,,01/15/2019
1315730,MICRO BREWER,101,MI,1,New York City,SUFFOLK,DESTINATION UNKNOWN BEER COMPANY INC ,,1 S CHICAGO AVE,UNIT C ,BAY SHORE,NY,11706,999999,01/15/2019
1315731,COMBINED CRAFT MANUFACTURER,110,CM,1,New York City,SUFFOLK,DESTINATION UNKNOWN BEER COMPANY INC ,,1 S CHICAGO AVE,UNIT C ,BAY SHORE,NY,11706,795634,01/15/2019
1315733,"GROCERY CHAIN, WINE PROD",128,AX,1,New York City,NASSAU,BOLLA OPERATING L I CORP,KINGS OYSTER BAY C-STORE,499 E OLD COUNTRY RD,,HICKSVILLE,NY,11801,903998,01/15/2019
1315736,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,520 MONTAUK GAS CORP,MOBIL MART,520 MONTAUK HWY,,EASTPORT,NY,11941,904054,01/16/2019
1315738,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,HARIRODA CORP,369 FARMER'S MARKET,64 W 9TH ST,,NEW YORK,NY,10011,,01/16/2019
1315741,MICRO BREWER,101,MI,1,New York City,SUFFOLK,HOPWINS INC,,1460 N CLINTON AVE,UNIT L,BAY SHORE,NY,11706,904071,01/16/2019
1315742,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,ANITA FOREVER LLC,SARAGHINA BISTRO,195 DEKALB AVE,,BROOKLYN,NY,11205,,01/16/2019
1315744,TAVERN WINE,344,TW,1,New York City,NEW YORK,UPHEIGHTS 1604 INC,,1604 SAINT NICHOLAS AVE ,,NEW YORK,NY,10040,,01/16/2019
1315746,ON-PREMISES LIQUOR,252,OP,1,New York City,BRONX,QUIET BAR RESTAURANT LLC,,535 E TREMONT AVE,,BRONX,NY,10457,,01/16/2019
1315747,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,NEWSFEED CAFE LLC,NEWSFEED CAFE,1507 NOSTRAND AVE ,GROUND FLOOR,BROOKLYN,NY,11226,,01/16/2019
1315748,RESTAURANT WINE,341,RW,1,New York City,KINGS,OZI FOOD INC,OZI DUMPLINGS,19 BOGART ST ,UNIT 1,BROOKLYN,NY,11206,,01/16/2019
1315749,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,HOYT AVENUE ENTERTAINMENT INC,CLUB 27,26-12 HOYT AVE S,,ASTORIA ,NY,11102,,01/16/2019
1315750,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,TACOS EL NOPAL CORP,,8321 5TH AVE,,BROOKLYN,NY,11209,888728,01/16/2019
1315753,RESTAURANT WINE,341,RW,1,New York City,NEW YORK,LUCKY RICEBURGER LTD,CURRY-YA,746 9TH AVE,,NEW YORK,NY,10019,830770,01/16/2019
1315754,RESTAURANT WINE,341,RW,1,New York City,KINGS,143 MONTAGUE STREET CORP,GRAND CANYON RESTAURANT,143 MONTAGUE ST,,BROOKLYN,NY,11201,830781,01/16/2019
1315755,WHOLESALE BEER(C),103,C,1,New York City,NASSAU,STATELINE BEER & BEVERAGE INC,DUMMY FILE,3811 HEMPSTEAD TPKE,,NASSAU,NY,11756,,01/17/2019
1315758,GROCERY STORE BEER,122,A,1,New York City,KINGS,JIAHE GROCERY INC,,4605 8TH AVE ,,BROOKLYN,NY,11220,,01/17/2019
1315759,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,NUEZ DELI GROCERY CORP,,1484 AMSTERDAM AVE ,,NEW YORK,NY,10031,,01/17/2019
1315762,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,AROMA DELI & FOOD CORP,,407 WILSON AVE,,BROOKLYN,NY,11221,,01/17/2019
1315763,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,VILLA TRINA MEAT MARKET INC,,4077 BROADWAY,,NEW YORK,NY,10032,,01/17/2019
1315766,RESTAURANT WINE,341,RW,1,New York City,QUEENS,RANCHO CIBAENO RESTAURANT CORP,TAVARES RESTAURANT,96-10 JAMAICA AVE,,WOODHAVEN,NY,11421,,01/17/2019
1315767,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,47 FRONT STREET RESTAURANT CORP,DEEP WATER BAR & GRILLE,47 FRONT ST,,GREENPORT,NY,11944,,01/18/2019
1315771,CLUB LIQUOR,243,CL,1,New York City,NASSAU,COUNTRY POINTE AT PLAINVIEW HOMEOWNERS ASSOC INC,,1 COUNTRY POINTE DR,,PLAINVIEW,NY,11803,,01/18/2019
1315775,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,PIZZETTE LLC,,191 GRAHAM AVE,,BROOKLYN,NY,11206,,01/18/2019
1315776,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,L & L FARMERS MARKET INC I,,1055 BRIGHTON BEACH AVE,,BROOKLYN,NY,11235,,01/18/2019
1315777,RESTAURANT WINE,341,RW,1,New York City,QUEENS,LOS 4 AMORES RESTAURANT CORP,,93-10 ROOSEVELT AVE,,JACKSON HEIGHTS,NY,11372,,01/18/2019
1315778,LIQUOR STORE,222,L,1,New York City,QUEENS,STEINWAY WINES & LIQUORS INC,,30-95 STEINWAY ST,,ASTORIA,NY,11103,,01/18/2019
1315779,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,HELLS BELLS LLC,THE BROADWAY,1272 BROADWAY,,BROOKLYN,NY,11221,,01/18/2019
1315781,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,23 14 DITMARS REST INC,VINTAGE,23-14 DITMARS BLVD,,ASTORIA,NY,11105,,01/18/2019
1315782,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,PARKVILLE DELI & GOURMET CATERERS INC,PARKVILLE PLAZA DELICATESSEN,154 LAKELAND AVE,,SAYVILLE,NY,11782,,01/18/2019
1315785,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,ARCA FUELS INC,ATLANTIS FRESH MARKET,766 SOUTHERN BLVD,,BRONX,NY,10455,,01/18/2019
1315786,"DRUG CHAIN, WINE PROD ",126,DX,1,New York City,WESTCHESTER,CVS ALBANY LLC,CVS/PHARMACY #10283,20 WELCHER AVE,,PEEKSKILL,NY,10566,,01/18/2019
1315787,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,BOYYTHAI CORP,YUM YUM TOO,662 9TH AVE,,NEW YORK,NY,10036,,01/18/2019
1315793,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,121 GROUP INTERNATIONAL LLC,ONE TWENTY ONE RESTAURANT,2 4 DINGLE RIDGE RD,,NORTH SALEM,NY,10560,,01/18/2019
1315796,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,SEAFOOD HUT NYC INC,SEAFOOD CARNIVAL,710 AMSTERDAM AVE,,NEW YORK,NY,10025,,01/18/2019
1315797,CATERING ESTABLISHMENT,246,CT,1,New York City,QUEENS,JAVED HAFEEZ ALI INC ,ROYAL EMPRESS HALL ,122-21 ROCKAWAY BLVD,,SOUTH OZONE PARK ,NY,11420,,01/18/2019
1315798,RESTAURANT WINE,341,RW,1,New York City,NASSAU,YAZISUSHI INC,,290 W OLD COUNTRY RD,,HICKSVILLE,NY,11801,,01/18/2019
1315800,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,SHORE HEAVEN INC,,1907 CROPSEY AVE ,,BROOKLYN,NY,11214,,01/18/2019
1315803,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,DHIRAJ NEWS LLC,,171 W 29TH ST,,NEW YORK,NY,10001,,01/18/2019
1315806,"GROCERY BEER, WINE PROD",122,AX,1,New York City,WESTCHESTER,144 KING STREET LLC,PORT CHESTER MOBIL,144 KING ST,,PORT CHESTER,NY,10573,,01/18/2019
1315809,IMPORTER,208,IL,1,New York City,NASSAU,CELINA IMPORTS LLC,,264 HAYPATH RD,STE 101,OLD BETHPAGE,NY,11804,904005,01/22/2019
1315810,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,ROSELYN DELI GROCERY CORP,,698 BECK ST,,BRONX,NY,10455,904003,01/22/2019
1315811,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,SALT & PEPPER DELI & GRILL LLC,,854 BUSHWICK AVE,,BROOKLYN,NY,11221,,01/22/2019
1315814,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,NITAYMAHANT CORP,,207-14 NORTHERN BLVD,,BAYSIDE,NY,11361,,01/22/2019
1315817,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,BEETLE TRAN LLC,HIGH LOW BEVERAGE COMPANY,295 WYCKOFF AVE,,BROOKLYN,NY,11237,,01/22/2019
1315818,CATERING ESTABLISHMENT,246,CT,1,New York City,NEW YORK,CHELSEA MARKET EVENTS INC,,410 W 16TH ST,,NEW YORK,NY,10011,,01/22/2019
1315819,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,BROOKSIDE MARKET LLC,,43-15 QUEENS BLVD,,QUEENS,NY,11104,,02/19/2019
1315820,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,HALSEY ALE HOUSE INC,,1204 HALSEY ST,,BROOKLYN,NY,11207,,03/13/2019
1315826,IMPORTER,208,IL,1,New York City,NEW YORK,SAKE BOYS USA LLC,,211 E 43RD ST,,NEW YORK,NY,10017,,01/22/2019
1315827,RESTAURANT WINE,341,RW,1,New York City,NASSAU,NATHAN'S ROADSIDE REST INC,NATHAN'S FAMOUS,2807 LONG BEACH RD,,OCEANSIDE,NY,11572,,01/23/2019
1315828,ON-PREMISES LIQUOR,252,OP,1,New York City,WESTCHESTER,LITTLE DIRTY GRINDER INC,LITTLE DRUNKEN CHEF,91 MAMARONECK AVE,,WHITE PLAINS,NY,10601,888780,01/23/2019
1315830,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,FISH REPUBLIC LLC,,139 DUANE ST,,NEW YORK,NY,10013,,01/23/2019
1315832,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,U BAR & RESTAURANT CORP,,1114 1116 AVENUE U,,BROOKLYN,NY,11223,,01/23/2019
1315833,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,M & A MINIMARKET CORP,,1712 UNIVERSITY AVE,,BRONX,NY,10453,,01/23/2019
1315834,LIQUOR STORE,222,L,1,New York City,SUFFOLK,S&J 168 WINE & LIQUOR INC,DISCOUNT LIQUORS,6050 JERICHO TPKE,,COMMACK,NY,11725,904010,01/23/2019
1315837,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,FRIENDLY CAFE LLC,,1795 MCDONALD AVE ,,BROOKLYN,NY,11230,,01/23/2019
1315838,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,BL 902 BROADWAY NY LLC,BLUESTONE LANE,902 BROADWAY,,NEW YORK,NY,10010,,01/23/2019
1315839,RESTAURANT WINE,341,RW,1,New York City,KINGS,BURGERS AND Q INC,,4726 NEW UTRECHT AVE,,BROOKLYN,NY,11219,830797,01/23/2019
1315840,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,CHARLIES SPORTS BAR CORP,CHARLIE'S SPORTS BAR,44-08 60TH ST,,WOODSIDE,NY,11377,,01/23/2019
1315841,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,107 GROCERY DELI CORP,,107-01 37TH AVE,,CORONA,NY,11368,,01/23/2019
1315845,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,882 FIRST AVE INC,NY GRILL & DELI,882 1ST AVE,,NEW YORK,NY,10022,,01/23/2019
1315846,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,54 NOLL LLC,FOODTOWN,54 NOLL ST,,BROOKLYN,NY,11206,,01/23/2019
1315854,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,"RESTAURANT ASSOCIATES LLC,SAKS&COMPANY LLC&CODEEV ",USA HOLDING INC,611 5TH AVE,"8TH, 9TH FL",NEW YORK,NY,10022,,01/23/2019
1315859,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,PRAMUKH 80 INC,E SMOKE & CONVENIENCE,80-02 ROOSEVELT AVE,,JACKSON HEIGHTS,NY,11372,,01/24/2019
1315861,LIQUOR STORE,222,L,1,New York City,SUFFOLK,K & T WINES AND LIQUORS INC,K T WINES & LIQUORS,1180 DEER PARK AVE ,,NORTH BABYLON,NY,11703,903996,01/24/2019
1315865,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,PLATINUM & WHITE MARKETS INC,MORTONWILLIAMS SUPERMARKET,1251 3RD AVE ,,NEW YORK,NY,10021,,01/24/2019
1315866,EATING PLACE BEER,141,EB,1,New York City,NEW YORK,DIAN KITCHEN LLC,,435 EAST 9TH ST,,NEW YORK,NY,10009,,01/24/2019
1315867,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,TAMBO DELI & GROCERY CORP,,774 LYDIG AVE,,BRONX,NY,10462,,01/24/2019
1315873,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,BAR LIFE INC,,1177 BEDFORD AVE,,BROOKLYN,NY,11216,,01/24/2019
1315875,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,AIYARA THAI INC,,480 9TH AVE ,,NEW YORK,NY,10018,,01/24/2019
1315876,"GROCERY BEER, WINE PROD",122,AX,1,New York City,BRONX,KIARY DELI GROCERY CORP,,1881 GRAND CONCOURSE,STORE 1,BRONX,NY,10463,,01/24/2019
1315879,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,BOURBON & BREWS LLC,,361 MERRICK AVE,,MERRICK,NY,11566,,01/24/2019
1315880,"GROCERY BEER, WINE PROD",122,AX,1,New York City,NEW YORK,1 COLUMBIA DELI INC,,1290 AMSTERDAM AVE,,NEW YORK,NY,10027,,01/24/2019
1315881,RESTAURANT WINE,341,RW,1,New York City,QUEENS,MY JARABACOA #1 INC,,65-13 FRESH POND RD,,RIDGEWOOD,NY,11385,,01/24/2019
1315882,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,38 F&B LLC,CARBONARA,25 W 38TH ST,,NEW YORK,NY,10018,,01/24/2019
1315883,HOTEL LIQUOR,242,HL,1,New York City,NEW YORK,FORTUNA FIFTH AVENUE LLC AND HENDRICKS HOTEL LLC,HOTEL HENDRICKS; 25TH FLOOR BAR,25 W 38TH ST,,NEW YORK,NY,10018,,01/24/2019
1315885,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,AJARL RESTAURANT CORP,DANIELA'S TRATTORIA ,728 8TH AVE,,NEW YORK,NY,10036,,01/24/2019
1315886,TAVERN WINE,344,TW,1,New York City,QUEENS,MAHAMITR INC,BLA BLA BAR,71-28 ROOSEVELT AVE,2ND FL,JACKSON HEIGHTS,NY,11372,,01/24/2019
1315888,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,MACK & MILO LLC,THE PAINTED LADY SALOON,1825 2ND AVE,,NEW YORK,NY,10128,888689,01/25/2019
1315889,"GROCERY BEER, WINE PROD",122,AX,1,New York City,RICHMOND,778 MANOR ROAD MEAT LLC,SUPERFRESH,778 MANOR RD UNIT 778A,UNIT 778A,STATEN ISLAND,NY,10314,904038,01/25/2019
1315890,TAVERN WINE,344,TW,1,New York City,NEW YORK,MAYANOKI LLC,MAYANOKI,620 E 6TH ST ,,NEW YORK,NY,10009,,01/25/2019
1315893,ON-PREMISES LIQUOR,252,OP,1,New York City,SUFFOLK,WHOLE FOODS MARKET GROUP INC,PIZZA PARLOR,120 VETERANS MEMORIAL HWY,SUITE A,COMMACK,NY,11725,895849,01/25/2019
1315896,"GROCERY BEER, WINE PROD",122,AX,1,New York City,QUEENS,SAL & GINO DELI CATERING LLC,,236-05 BRADDOCK AVE ,,BELLEROSE,NY,11426,,01/25/2019
1315897,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,AUGLEAM CORP,THE CELTIC RAIL,137 W 33RD ST,,NEW YORK,NY,10001,,01/28/2019
1315899,"GROCERY BEER, WINE PROD",122,AX,1,New York City,SUFFOLK,GALLAGHER PORT JEFFERSON LLC,SHOPRITE,5145 NESCONSET HWY,,PORT JEFFERSON STATN,NY,11776,,01/28/2019
1315901,"GROCERY BEER, WINE PROD",122,AX,1,New York City,KINGS,L Q A GROCERY II CORP,,1602B MERMAID AVE ,,BROOKLYN,NY,11224,,01/28/2019
1315902,RESTAURANT WINE,341,RW,1,New York City,KINGS,GNS FOODS INC,EDESSA,430-432 5TH AVENUE,,BROOKLYN,NY,11215,,01/28/2019
1315904,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,COURTSIDE SPORTS PUB LLC,BOBBY MCCANN'S SPORTS RESTAURANT AND BAR,5590 MERRICK RD,,MASSAPEQUA,NY,11758,,01/28/2019
1315910,WHOLESALE LIQUOR,203,LL,1,New York City,NEW YORK,MASSANOIS LLC,MASSANOIS IMPORTS,443 PARK AVE S ,STE 700,NEW YORK,NY,10016,903921,01/28/2019
1315911,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,HOST 213 LLC,,213 2ND AVE,,NEW YORK,NY,10003,,01/28/2019
1315914,"GROCERY CHAIN, BEER ONLY",128,A,1,New York City,SUFFOLK,WHOLE FOODS MARKET GROUP INC,WHOLE FOODS MARKET,120 VETERANS MEMORIAL HWY,,COMMACK,NY,11725,903976,01/28/2019
1315917,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,ESTEY CORP,EL OTRO ROLLO,79-05 ROOSEVELT AVE,,JACKSON HEIGHTS,NY,11372,,01/28/2019
1315920,RESTAURANT WINE,341,RW,1,New York City,QUEENS,BALCON DE QUITO RESTAURANT INC,,666 SENECA AVE,,RIDGEWOOD,NY,11385,,01/28/2019
1315924,TAVERN WINE,344,TW,1,New York City,KINGS,GALLERY SENSEI LLC,SENSEI,87 RICHARDSON ST,,BROOKLYN,NY,11211,,01/28/2019
1315925,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,ST HELIER TAVERN LLC,,285 W BROADWAY,AKA 380 CANAL ST,NEW YORK,NY,10013,,01/29/2019
1315926,ON-PREMISES LIQUOR,252,OP,1,New York City,QUEENS,ROBSNYC INC,JD'S SALOON,208-11 35TH AVE,,BAYSIDE ,NY,11364,,04/03/2019
1315929,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,CAFÉ MATHIAS INC,,210 220 NAGLE AVE ,"STORE 5,6,7",NEW YORK,NY,10034,,01/29/2019
